#p01    #fam01  #n01    #color01
41591   1       1386    6
41629   1       1387    7
41743   1       1391    8
41789   1       1392    1
41797   1       1393    2
41837   1       1394    3
41921   1       1397    4
42007   1       1400    5
42113   1       1403    6
42133   1       1404    7
42199   1       1406    8
42217   1       1407    1
42251   1       1408    2
42347   1       1411    3
42427   1       1414    4
42523   1       1417    5
42581   1       1419    6
42637   1       1421    7
42659   1       1421    8
42769   1       1425    1
42803   1       1426    2
42847   1       1428    3
42857   1       1428    4
42911   1       1430    5
42913   1       1430    6
43057   1       1435    7
43241   1       1441    8
43267   1       1442    1
43303   1       1443    2
43339   1       1444    3
43367   1       1445    4
43477   1       1449    5
43493   1       1449    6
43529   1       1450    7
43571   1       1452    8
43687   1       1456    1
43693   1       1456    2
43877   1       1462    3
43897   1       1463    4
43901   1       1463    5
43909   1       1463    6
44083   1       1469    7
44107   1       1470    8
44183   1       1472    1
44231   1       1474    2
44317   1       1477    3
44387   1       1479    4
44399   1       1479    5
44473   1       1482    6
44479   1       1482    7
44527   1       1484    8
44561   1       1485    1
44737   1       1491    2
44863   1       1495    3
44873   1       1495    4
44891   1       1496    5
44897   1       1496    6
44947   1       1498    7
45049   1       1501    8
45157   1       1505    1
45221   1       1507    2
45253   1       1508    3
45269   1       1508    4
45367   1       1512    5
45407   1       1513    6
45551   1       1518    7
45563   1       1518    8
45577   1       1519    1
45619   1       1520    2
45643   1       1521    3
45787   1       1526    4
45881   1       1529    5
45917   1       1530    6
45997   1       1533    7
46033   1       1534    8
46139   1       1537    1
46189   1       1539    2
46207   1       1540    3
46211   1       1540    4
46253   1       1541    5
46417   1       1547    6
46423   1       1547    7
46427   1       1547    8
46541   1       1551    1
46627   1       1554    2
46759   1       1558    3
46813   1       1560    4
46837   1       1561    5
46871   1       1562    6
46937   1       1564    7
46943   1       1564    8
47009   1       1566    1
47047   1       1568    2
47201   1       1573    3
47203   1       1573    4
47257   1       1575    5
47329   1       1577    6
47447   1       1581    7
47467   1       1582    8
47531   1       1584    1
47593   1       1586    2
47633   1       1587    3
