 #z      #x      #y      #c
 #z      #x      #y      #c
 28      0       0       30
 28      1       28      30
 28      2       26      30
 28      3       24      30
 28      4       22      30
 28      5       20      30
 28      6       18      30
 28      7       16      30
 28      8       14      30
 28      9       12      30
 28      10      10      30
 28      11      8       30
 28      12      6       30
 28      13      4       30
 28      14      2       30
 28      15      00      30
 28      15      30      30
 28      16      28      30
 28      17      26      30
 28      18      24      30
 28      19      22      30
 28      20      20      30
 28      21      18      30
 28      22      16      30
 28      23      14      30
 28      24      12      30
 28      25      10      30
 28      26      8       30
 28      27      6       30
 28      28      4       30
 28      29      2       30
 28      30      00      30
 28      30      30      30
 #z      #x      #y      #c
 30       0      00      30
 30       1      00      30
 30       1      30      30
 30       2      00      30
 30       2      30      30
 30       3      00      30
 30       3      30      30
 30       4      00      30
 30       4      30      30
 30       5      00      30
 30       5      30      30
 30       6      00      30
 30       6      30      30
 30       7      00      30
 30       7      30      30
 30       8      00      30
 30       8      30      30
 30       9      00      30
 30       9      30      30
 30      10      00      30
 30      10      30      30
 30      11      00      30
 30      11      30      30
 30      12      00      30
 30      12      30      30
 30      13      00      30
 30      13      30      30
 30      14      00      30
 30      14      30      30
 30      15      00      30
 30      15      30      30
 30      16      00      30
 30      16      30      30
 30      17      00      30
 30      17      30      30
 30      18      00      30
 30      18      30      30
 30      19      00      30
 30      19      30      30
 30      20      00      30
 30      20      30      30
 30      21      00      30
 30      21      30      30
 30      22      00      30
 30      22      30      30
 30      23      00      30
 30      23      30      30
 30      24      00      30
 30      24      30      30
 30      25      00      30
 30      25      30      30
 30      26      00      30
 30      26      30      30
 30      27      00      30
 30      27      30      30
 30      28      00      30
 30      28      30      30
 30      29      00      30
 30      29      30      30
 30      30      00      30
 30      30      30      30
