##here1
##z      #x      #y     000
 16      39      54     000
 16      40      40     000
 16      41      56     000
 16      42      42     000
 16      43      58     000
 16      44      44     000
 16      45      30     000
 16      45      60     000
 16      46      46     000
 16      47      32     000
 16      48      48     000
 16      49      34     000
 16      50      50     000
 16      51      36     000
 16      52      52     000
 16      53      38     000
 16      54      54     000
 16      55      40     000
 16      56      56     000
 16      57      42     000
 16      58      58     000
 16      59      44     000
 16      60      30     000
 16      60      60     000
##z2      #x2     #z2   #c2
##17      30      30     1
##17      31      47     1
##17      32      34     1
##17      33      51     1
##17      34      38     1
##17      35      55     1
##17      36      42     1
##17      37      59     1
##17      38      46     1
##17      39      33     1
